职位名称,公司名,地点,薪资
Python开发工程师,深圳市卓易梓网络科技有限公司,深圳-龙岗区,1.5-2万/月
Python开发工程师,深圳市赢时胜信息技术股份有限公司...,长沙-开福区,0.8-1.2万/月
Python开发工程师,杭州沃趣科技股份有限公司,西安,1-2万/月
Python游戏研发实习,西安吉祥果信息科技有限公司,成都-武侯区,3-4.5千/月
Python工程师,上海奥腾计算机科技有限公司,上海,1.5-2万/月
实习生（Python开发）,上海百胜软件股份有限公司,上海,1-5千/月
python讲师(工程师),南京弦歌信息技术有限公司,阜阳,0.8-1万/月
资深Python工程师,北京安德信业信息咨询有限责任公司...,北京-海淀区,2.5-4万/月
python后端开发（实习生）,广州回头车信息科技有限公司,广州-天河区,5-8千/月
高级Python工程师,深圳市赛纳电子科技有限公司,深圳-龙华新区,1-2万/月
Python开发工程师,武汉中纪生物科技有限公司,武汉-东湖新技...,0.8-1.2万/月
Python开发工程师,上海迅时通信设备有限公司,上海-徐汇区,1-1.5万/月
Python爬虫工程师,四川千百年科技有限公司,成都-高新区,8-9千/月
python开发工程师/大数据建模,诺贝尔曼（上海）商业投资管理有限...,上海-黄浦区,6-8千/月
Python 开发工程师,深圳市德卡科技股份有限公司,西安-高新技术...,0.5-1万/月
Python开发工程师,上海占域实业有限公司,苏州,6-8千/月
Python开发工程师,深圳市风云实业有限公司,成都-青羊区,0.8-1.5万/月
Python开发工程师,中山市万得福电子热控科技有限公司...,中山,4-8千/月
高级软件工程师(Python),傲讯全通科技（深圳）有限公司,深圳-福田区,0.9-1.8万/月
Python算法研发工程师一名,北京立方天地科技发展有限责任公司...,北京-海淀区,1-1.8万/月
Python开发工程师,北京安德医智科技有限公司,北京,1-1.8万/月
Python开发,成都上鑫网络科技有限公司,成都-温江区,4-5千/月
软件开发工程师（GO/Lua/python）,国动网络技术有限公司,上海-静安区,1.5-2.5万/月
Python开发经理,上海金杉数金互联网科技有限公司,上海-浦东新区,2-2.5万/月
Python开发工程师,深圳市斯凯荣科技有限公司,深圳-南山区,1.5-2.5万/月
Python后端开发工程师,深圳虾皮信息科技有限公司,深圳-南山区,1.8-3.6万/月
Python开发工程师,厦门互誉商贸有限公司,福州-仓山区,6-8千/月
Python开发实习生,苏州高博应诺信息科技有限公司,苏州-工业园区,4.5-6千/月
python大数据工程师,武汉赛维尔生物科技有限公司,武汉-洪山区,1-1.5万/月
中高级python开发工程师,智线云科技（北京）有限公司武汉分...,武汉-洪山区,1.2-1.8万/月
初级Python工程师,上海司尔亚司数据信息有限公司,上海-浦东新区,10-15万/年
Python开发工程师,深圳市悟空跨境科技有限公司,深圳-南山区,1-1.5万/月
Python讲师,广州瑞育通信息技术有限公司,广州,1-2万/月
Python开发工程师,上海畔哒教育科技有限公司,南通,1-1.5万/月
AI软件研发工程师（Python开发）(J10822),上海联影智能医疗科技有限公司,上海-徐汇区,1.5-2万/月
Python开发工程师,上海美市科技有限公司,上海-徐汇区,1-1.5万/月
Python开发工程师,麦田春雪科贸（北京）有限公司,成都-金牛区,1.5-2万/月
python开发,深圳樱吉尔企业咨询管理有限公司,深圳-福田区,1.6-2.6万/月
ERP实施顾问(Python开发),北京安必奇生物科技有限公司,成都-高新区,0.8-1.5万/月
Python资深算法工程师,广西迅图信息技术有限公司,南宁,1-1.5万/月
Python开发工程师,上海趋佳信息科技有限公司,上海-浦东新区,1.5-2.2万/月
Python自动化测试工程师,湖南金烽信息科技有限公司,杭州,0.8-1.2万/月
Python全栈开发,广东珺桦能源科技有限公司,广州-黄埔区,0.6-1.2万/月
Python应用工程师,东莞昆盈电脑制品有限公司,东莞,0.8-1.2万/月
Python开发工程师,华为三立（北京）能源科技有限公司...,西安-雁塔区,1-1.5万/月
Python开发工程师,北京中软融通科技有限公司,北京,0.7-2万/月
开发工程师(JAVA/Python）,南京光辉互动网络科技股份有限公司...,南京,1-1.5万/月
高级Python开发工程师,苏州智铸通信科技股份有限公司,天津-西青区,1-1.5万/月
Python后端工程师,清科优能（深圳）技术有限公司,深圳-南山区,25-45万/年
Python高级工程师（深圳）,三态电子商务股份有限公司,深圳-南山区,1.5-2.5万/月
